Node 1,Node 2
0,1
2,1
3,0
4,0
4,5
6,4
7,6
7,13
8,9
10,9
11,8
12,11
14,13
15,7
15,14
16,15
16,20
16,33
17,14
17,36
18,10
19,20
21,20
21,19
22,23
23,24
24,25
26,23
26,47
26,27
27,24
27,28
28,25
29,18
30,25
30,18
31,18
31,19
32,33
32,40
33,17
34,17
34,32
34,35
35,36
36,37
38,16
39,30
39,28
39,55
40,38
40,21
41,21
42,29
42,41
43,40
43,41
44,32
45,35
46,34
46,44
46,45
47,48
49,43
49,42
50,43
50,44
51,44
52,45
53,46
53,51
53,52
54,50
54,60
55,42
56,51
57,52
58,53
58,57
59,49
60,49
60,66
61,47
62,47
63,28
63,55
64,26
64,65
65,27
65,69
66,59
66,63
67,57
68,58
68,67
69,63
70,66
71,60
71,70
72,54
72,56
73,67
73,87
74,68
74,56
74,84
75,70
75,65
76,75
76,64
77,75
77,78
78,71
78,72
79,64
80,76
81,76
81,77
82,72
82,94
83,84
83,94
84,73
85,77
85,93
86,81
88,87
89,78
89,82
90,79
91,80
91,90
92,88
95,82
95,96
96,94
97,89
97,95
98,85
98,97
99,83
100,86
100,101
100,98
101,86
102,90
103,91
103,101
104,91
104,118
105,99
105,92
106,99
107,96
107,111
108,106
108,116
109,96
110,95
110,107
111,109
111,124
112,97
112,126
112,110
113,98
113,126
114,103
114,104
115,103
115,113
116,117
116,105
118,102
119,102
120,104
121,119
122,120
122,133
123,120
124,108
125,105
125,169
127,124
127,161
127,125
128,113
128,148
129,110
130,115
130,114
130,138
131,112
132,114
133,123
134,129
135,129
135,136
136,134
137,131
139,131
139,158
139,156
140,130
140,142
140,128
141,137
141,147
142,132
143,132
143,144
144,122
145,135
146,135
148,141
149,143
150,142
150,153
151,128
152,148
152,157
153,149
154,145
155,145
156,145
158,152
159,150
160,159
161,156
162,156
163,139
163,161
164,160
165,164
166,165
166,168
167,151
167,170
168,151
170,163
